gene,position
COX1,"13800-14000,16430-16500,18940-19000,20450-21050,21900-22300,23600-23760,25310-25350,26200-26800"
ATP8,27666-27812
ATP6,28487-29266
COB,"36500-37000,37720-37740,39120-39230,40800-41100,42500-42570,43250-43700"
OLI1,46700-46970
VAR1,48880-50110
SCEI,61000-61750
COX2,73758-74513
COX3,79213-80022
